name,category,address,phone,website,rating,status,channel,replied,last_contacted,follow_up_date,instagram,notes
Temptation Realty inc,Real Estate Agent,"122/2, 1st Floor, Brigade Ternia, Landmark-next to Ibaco Icecream shop, Brigade Rd, opposite of Brigade Tower, Bengaluru, Karnataka 560025, India",+91 97415 55559,http://temptationrealtyinc.com/,5.0,Contacted,,,2026-06-25,,,
Hanu Reddy Realty,Real Estate Agent,"Ground floor, 307, 6th Main Rd, HAL 2nd Stage, Indiranagar, Bengaluru, Karnataka 560038, India",+91 80 4034 9999,http://hanureddyrealty.com/,4.3,Not Contacted,,,,,,
Raintree Realtors India Pvt. Ltd,Real Estate Agent,"221, 32 'A' Cross, 3rd Main Rd, 7th Block, Jayanagar, Bengaluru, Karnataka 560070, India",+91 98450 01652,http://www.raintree-realtors.com/,4.9,Not Contacted,,,,,,
MN Realtors since 1998 - Best Realestate Company In Bangalore,Real Estate Agent,"2nd floor, Malika Mansion, 94-1/2, Infantry Rd, behind Karnataka Bank, Tasker Town, Shivaji Nagar, Bengaluru, Karnataka 560001, India",+91 98440 11876,,4.7,Not Contacted,,,,,,
DESIGN DYNAMICS | Best Interior Designers in Bangalore,Interior Designer,"1204, Ashva complex, 26th Main Rd, Putlanpalya, Jayanagara 9th Block, Jayanagar, Bengaluru, Karnataka 560041, India",+91 86188 10742,http://www.designdynamics.co.in/,4.9,Contacted,,,2026-07-09,,,
Bhawani Interior Design Studio (R) Modular Kitchen| wardrobes| Top Interior Designers Bangalore | Home interiors,Interior Designer,"G Floor, Chandapura - Dommasandra Rd, near anjaneya temple, Dommasandra, Bengaluru, Karnataka 562125, India",,http://bhawaniinteriors.com/,4.8,Not Contacted,,,,,,
iTop Interior - Best Interior Designers in Bangalore,Interior Designer,"# A 11, Ground floor, 3rd Cross, Kamadhenu Nagar Main road, Near HP office, BNararyanaPura, Bengaluru, Karnataka 560016, India",+91 96631 39538,https://itopinterior.com/,4.9,Contacted,,,2026-07-09,,,
"JMJS INTERIORS – Best Interior Designers in Krishnarajapuram, Bengaluru",Interior Designer,"Bharathi Nagar, Krishnarajapuram, Bengaluru, Karnataka 560049, India",+91 96149 99997,http://jmjsinteriors.com/,4.9,Contacted,,,2026-07-11,,,
Interiosplash - Interior Design Experience Centre,Interior Designer,"10, 24th Main Rd, Ayodya Nagar, J P Nagar Phase 5, J. P. Nagar, Bengaluru, Karnataka 560078, India",+91 80951 57401,http://www.interiosplash.com/,4.8,Not Contacted,,,,,,
SWASTIK INTERIORS | Best Interior Designer in Bangalore | Top Interior Design Company in Bangalore |,Interior Designer,"396 2nd Cross, Outer Ring Rd, near Sony Center & Indo Asian Academy, Kalyan Nagar, Bengaluru, Karnataka 560043, India",+91 99803 26058,http://swastikinteriors.co/,4.8,Not Contacted,,,,,,
"D'LIFE Home Interiors HSR, Bangalore",Interior Designer,"19th Main Rd, Parangi Palaya, Sector 2, HSR Layout, Bengaluru, Karnataka 560102, India",+91 99955 17777,https://dlifeinteriors.com/location/bangalore/,4.7,Not Contacted,,,,,,
"Glamwood Interiors - Best Interior Designers in Bangalore, Sarjapura",Interior Designer,"Sy 155, Kodathi gate, Sarjapur - Marathahalli Rd, opposite Maruti true value showroom, Bengaluru, Karnataka 562125, India",+91 90367 09253,https://glamwoodinteriors.com/?utm_source=gmb&utm_medium=sgw,4.9,Contacted,,,2026-07-11,,,
"Chattels Design - Interior Designers in Whitefield, Bangalore",Interior Designer,"3rd floor, Site No. 209, MVR Infra Developers, Varthur Main Rd, above ICICI Bank, Palm Meadows, Siddapura, Whitefield, Bengaluru, Karnataka 560066, India",+91 88619 63344,https://chattelsdesign.com/,4.5,Not Contacted,,,,,,
Concept2Designs Interiors | Luxury Interior Designers in Bangalore | Award-Winning Experts,Interior Designer,"1685/1 , 2nd floor, 27th Main Rd, BDA Layout, HSR Layout, Bengaluru, Karnataka 560102, India",+91 97410 00348,https://www.concept2designs.in/,4.3,Not Contacted,,,,,,
Apna Ghar Interiors - Best Home Luxury Interior Designer in Bangalore,Interior Designer,"HRBR Layout 1st Block, Balaji Layout, Subbaiahnapalya, Banaswadi, Bengaluru, Karnataka 560043, India",+91 98451 95091,https://www.apnagharinteriors.in/,4.9,Contacted,,,2026-07-12,,,
KZ Interiors | Best Interior Designers In Bangalore,Interior Designer,"26/1B, 13, Kanakapura Main Rd, Jarganahalli, POST, J. P. Nagar, Bengaluru, Karnataka 560111, India",+91 99002 70235,http://kitchenzoneinteriors.com/,4.8,Not Contacted,,,,,,
NoBroker Interiors: Interior Designers in Bangalore,Interior Designer,"448, 17th Cross Rd, Sector 4, HSR Layout, Bengaluru, Karnataka 560102, India",+91 80 4544 2747,https://www.nobroker.in/interiors/home-interior-designers-in-bangalore/hsr-layout-ec,4.6,Not Contacted,,,,,,
Bonito Designs - Home Interior Designers in Bangalore (HSR Layout),Interior Designer,"No 1182 Floor, Building, 2, 5th Main Rd, 7th Sector, HSR Layout, Bengaluru, Karnataka 560102, India",+91 80 6845 5090,https://bonito.in/interior-designers-in-hsr/?utm_source=GMB&utm_id=hsr,3.8,Not Contacted,,,,,,
Newell Interiors | Best Interior designer in Bangalore,Interior Designer,"First floor, 6/7, Kogilu Main Rd, near Shree ramdev glass and plywood, Maruthi Nagar, Yelahanka, Bengaluru, Karnataka 560064, India",+91 99162 66133,http://www.newellinteriors.com/,5.0,Contacted,,,2026-06-25,,,
Cee Bee Design Studio - Interior Designer in Bangalore,Interior Designer,"Door No 18, 3rd B Cross Rd, Chandra Layout Extension II Stage, Domlur, Bengaluru, Karnataka 560071, India",+91 86973 06015,https://www.ceebeedesignstudio.com/interior-designer-in-bangalore,4.5,Not Contacted,,,,,,
Pencil Interiors - Best Interior Designers in Bellandur,Interior Designer,"First Floor, Hemareddy building, Syno-482/57, Bellandur Conct Road, near to Nitesh Estate - Cape Cod, Sarjapura, Bellandur, Bengaluru, Karnataka 560103, India",+91 70903 46555,http://www.pencilinteriors.co.in/,4.6,Not Contacted,,,,,,
Design Arc Interiors,Interior Designer,"3rd floor, Site No. 71, 2 & 71/2A, 3rd Main Rd, Phase 3, 7th Sector, HSR Layout, Bengaluru, Karnataka 560102, India",+91 96207 89719,https://www.designarcinteriors.com/,4.5,Not Contacted,,,,,,
Spacia Designs | The Best Interior Design Studio in Bangalore,Interior Designer,"18/1, Brigade Rd, near Life Style, Xavier Layout, Victoria Layout, Bengaluru, Karnataka 560047, India",,https://spaciadesigns.in/,4.9,Not Contacted,,,,,,
DecoTales Interior Design PVT LTD | Bangalore,Interior Designer,"No. 8, 3rd floor, Kiran Complex, 15th Cross Rd, MG Layout, 6th phase, J. P. Nagar, Bengaluru, Karnataka 560078, India",+91 96069 88791,http://www.decotales.com/,4.6,Not Contacted,,,,,,
De Panache Luxury Interiors - Interior Designers in Bangalore (Please take prior appointment by calling at our office number),Interior Designer,"4th B Block, A Complex, 45, 7th B Cross, B.D, 16th B Main Rd, near Koramangala, Koramangala Extension, Bengaluru, Karnataka 560034, India",+91 96201 31348,https://depanache.in/?utm_source=google&utm_medium=business&utm_campaign=website,4.4,Not Contacted,,,,,,
"Glamwood Interiors - Top Interior Designers in Bangalore, Marathahalli",Interior Designer,"1st floor, XP62+JPP, Anand arcade, 21/37, Service Rd, R.J.Gardens, Anand Nagar, Aswath Nagar, Marathahalli, Kalamandir, Bengaluru, Karnataka 560037, India",+91 90367 09253,https://glamwoodinteriors.com/,4.8,Not Contacted,,,,,,
Homeitup Interior Design Studio – Best Interior Designers in Bangalore,Interior Designer,"2nd Floor, 241, 9th Main Rd, 6th sector, HSR Layout, Bengaluru, Karnataka 560102, India",+91 99166 61624,https://www.homeitup.com/,4.8,Not Contacted,,,,,,
Carafina Interior Designers,Interior Designer,"Ground and First Floor, Invenger Towers, 2, 80 Feet Rd, next to Life Hospital, Half 3rd Stage, Defence Colony, Indiranagar, Bengaluru, Karnataka 560075, India",+91 99000 35665,http://www.carafina.in/,4.3,Not Contacted,,,,,,
Bhavana Interiors & Decorators - Residential and Commercial Interior Designers in Bangalore,Interior Designer,"No.96, Dhruv Palace, 1st Floor, 5, 4th Cross Navya Nagar Rd, Jakkur, Bengaluru, Karnataka 560064, India",+91 99025 71049,https://www.bhavanainteriordecorators.com/bangalore/,4.9,Contacted,,,2026-07-09,,,
Magnon Interiors India Private Limited,Interior Designer,"1st Floor, No 4, Kanakapura Main Rd, Jayachamarendra Industrial Layout, Yelchenahalli, 1st Stage, Bengaluru, Karnataka 560111, India",+91 88806 46464,https://www.magnonindia.com/,4.0,Not Contacted,,,,,,
The KariGhars,Interior Designer,"1st floor, 2798, 27th Main Rd, Agara Village, 1st Sector, HSR Layout, Bengaluru, Karnataka 560102, India",+91 70227 25656,https://www.thekarighars.com/,4.7,Not Contacted,,,,,,
Global Interiors | Best Interior Designers in Bangalore | Luxury Home & Office Interiors,Interior Designer,"Global Interiors, 67/2, Gangamma Gudi Police Station Rd, near SHRIRAM SAMEEKSHA, Shriniketh Layout, Singapura, Bengaluru, Karnataka 560013, India",+91 98440 24544,https://globalinteriorsindia.com/index.php,4.8,Not Contacted,,,,,,
Blue Interiors | Best Interior Designers in Bangalore,Interior Designer,"4 2nd Floor, 24th Main Rd, BDA Layout, HSR Layout, Bengaluru, Karnataka 560102, India",+91 81233 87210,https://blueinteriors.in/,4.5,Not Contacted,,,,,,
Anusha Shetty Designs Luxury Atelier - Best Interior Designers in Bangalore | Best Luxury Interior Designers Bangalore,Interior Designer,"362, 7th Cross Rd, 6th Block, 1st Block, Jayanagar 1st Block, Jayanagar, Bengaluru, Karnataka 560011, India",+91 88614 16453,http://www.anushashettydesigns.com/,4.7,Not Contacted,,,,,,
WEA Designs Private Limited | Interior Designers in Bangalore,Interior Designer,"119, 2nd Main Rd, KSRTC Layout, 2nd Phase, J. P. Nagar, Bengaluru, Karnataka 560078, India",+91 79960 60000,https://weadesign.com/?utm_source=GMB&utm_medium=Google+My+Business+website&utm_campaign=GMB+website,4.6,Not Contacted,,,,,,
Blue Interiors | Hafele Studio Partner,Interior Designer,"Shop no 2, 1st floor, Whitefield main road, post, near Aryan Suzuki, opposite to Sigma Tech Park, Varthur, Bengaluru, Karnataka 560066, India",+91 81233 87210,https://www.blueinteriors.in/,4.9,Contacted,,,2026-07-09,,,
TASA interior Designer,Interior Designer,"15, 11th Cross Rd, near ICICI ATM, Banjara Layout, Horamavu Agara, Horamavu, Bengaluru, Karnataka 560043, India",+91 92411 17111,https://tasainteriordesigner.com/,4.7,Not Contacted,,,,,,
HCD DREAM Interior Solutions Pvt Ltd | Best Home Interior Designer Company in Bangalore,Interior Designer,"6th Floor, Neil Rao Towers, 117 & 118, Rd Number 3, above SBI Home loan, Vijayanagar, EPIP Phase 1, Whitefield, Bengaluru, Karnataka 560066, India",+91 81057 86528,https://hcddream.com/,4.8,Not Contacted,,,,,,
"Urvi Interiors (Interior Designers, Décor, Home Interiors Bangalore)",Interior Designer,"No.73, 3rd Main Rd, Shreya Colony, JP Nagar 7th Phase, J. P. Nagar, Bengaluru, Kothnur, Karnataka 560062, India",+91 98863 72650,https://www.urviinteriors.com/,4.8,Not Contacted,,,,,,
"Livspace - Interior Design Studio, JP Nagar",Interior Designer,"6th Phase, 10, Sarakki, 100 Ft, Outer Ring Rd, Signal, J. P. Nagar, Bengaluru, Karnataka 560078, India",+91 80 4775 9103,https://www.livspace.com/in/interiors/bengaluru/jp-nagar?utm_medium=GMB&utm_source=wb_jp_nagar,4.6,Not Contacted,,,,,,
Aishwarya Interiors: Luxury Interior Designers in Bangalore,Interior Designer,"18th Cross Rd, 459/A, 27th Main Rd, nearby NIFT College, Parangi Palaya, Sector 2, HSR Layout, Bengaluru, Karnataka 560102, India",+91 78297 67575,https://aishwaryainteriors.in/,4.6,Not Contacted,,,,,,
Nesture Interior - Interior Designer In Bangalore,Interior Designer,"K Mannyappa Garden, Ashirvad Colony, Horamavu, Bengaluru, Karnataka 560113, India",+91 86180 80171,https://nestureinterior.com/?utm_source=google_profile&utm_campaign=localo&utm_medium=mainlink,4.9,Contacted,,,2026-07-09,,,
WeDezine Studio,Interior Designer,"11/1, 17th Cross Rd, Malleshwaram, Bengaluru, Karnataka 560055, India",+91 91119 59595,https://www.wedezinestudio.com/,4.8,Not Contacted,,,,,,
"DesignCafe Experience Centre, MG Road",Interior Designer,"39, St Mark's Rd, above Koshy's Restaurant, Shanthala Nagar, Ashok Nagar, Bengaluru, Karnataka 560001, India",+91 80 6806 5000,https://www.designcafe.com/cities/interior-designers-bangalore/?utm_source=GMBblrmgr&utm_medium=organic&utm_campaign=organic,4.2,Not Contacted,,,,,,
